ID,index,Category,State,Region,Date,Farm,Rep,Depth,GPS,% Sand,% Silt,% Clay,Texture,pET (mm/yr),precip (in/yr),1:1 Soil pH,Organic Matter LOI %,Bulk density (g/cm3),1:1 S Salts mmho/cm,Nitrate-N ppm N,Potassium ppm K,Sulfate-S ppm S,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,Mehlich P-III ppm P,2020_1:1 Soil pH,2020_1:1 S Salts mmho/cm,2020_Organic Matter LOI %,2020_Nitrate-N ppm N,2020_Potassium ppm K,2020_Sulfate-S ppm S,2020_Zinc ppm Zn,2020_Iron ppm Fe,2020_Manganese ppm Mn,2020_Copper ppm Cu,2020_Calcium ppm Ca,2020_Magnesium ppm Mg,2020_Sodium ppm Na,2020_CEC/Sum of Cations me/100g,2020_%H Sat,2020_%K Sat,2020_%Ca Sat,2020_%Mg Sat,2020_%Na Sat,2020_Mehlich P-III ppm P,2020_% Sand,2020_% Silt,2020_% Clay,2020_Texture,POXC (mg/kg soil),NAG (nmol/hr/g soil),BG (nmol/hr/g soil),C-min (ugCO2-C/g_soil/day),Total Biomass,Diversity Index,Bacteria %,Total Bacteria Biomass,Actinomycetes %,Actinomycetes Biomass,Gram (-) %,Gram (-) Biomass,Rhizobia %,Rhizobia Biomass,Total Fungi %,Total Fungi Biomass,Arbusular Mycorrhizal %,Arbuscular Mycorrhizal Biomass,Saprophytic %,Saprophytes Biomass,Protozoan %,Protozoa Biomass,Gram (+) Biomass,Gram (+) %,Undifferentiated %,Undifferentiated Biomass,Fungi:Bacteria,Predator:Prey,Gram(+):Gram(-),Sat:Unsat,Mono:Poly,Pre 16:1w7c:cy17:0,Pre 18:1w7c:cy19:0,2020_POXC (mg/kg soil),2020_NAG (nmol/hr/g soil),2020_BG (nmol/hr/g soil),2020_C-min (ugCO2-C/g_soil/day),2020_Bulk density (g/cm3),2020_Total Biomass,2020_Diversity Index,2020_Bacteria %,2020_Total Bacteria Biomass,2020_Actinomycetes %,2020_Actinomycetes Biomass,2020_Gram (-) %,2020_Gram (-) Biomass,2020_Rhizobia %,2020_Rhizobia Biomass,2020_Total Fungi %,2020_Total Fungi Biomass,2020_Arbusular Mycorrhizal %,2020_Arbuscular Mycorrhizal Biomass,2020_Saprophytic %,2020_Saprophytes Biomass,2020_Protozoan %,2020_Protozoa Biomass,2020_Gram (+) Biomass,2020_Gram (+) %,2020_Undifferentiated %,2020_Undifferentiated Biomass,2020_Fungi:Bacteria,2020_Predator:Prey,2020_Gram(+):Gram(-),2020_Sat:Unsat,2020_Mono:Poly,2020_Pre 16:1w7c:cy17:0,2020_Pre 18:1w7c:cy19:0,WetAgg_MWD (mm),2020_WetAgg_MWD (mm),DryAgg_MWD (mm),2022_DryAgg_MWD (mm),2020_DryAgg_MWD (mm),DryAgg_WEF (%),2022_DryAgg_WEF (%),2020_DryAgg_WEF (%),2022_PenRes_Adjusted PR_Mpa,Historical_Cover crops,Historical_Interseeding,Historical_Living mulch,Historical_Increase crop rotation diversity,Historical_Heritage varieties,Historical_Perennial cool season pasture,Historical_No till / strip till,Historical_Integrate livestock,Historical_Amendments,Historical_Reduce chem,FARMS_Cover crops,FARMS_Interseeding,FARMS_Living mulch,FARMS_Planting green,FARMS_Pasture cropping,FARMS_Relay cropping,FARMS_Increase crop rotation diversity,FARMS_Conserv. crop rot. (opportunistic cropping),FARMS_Heritage varieties,FARMS_Pollinator mix permanent,FARMS_Pollinator mix nonpermanent,FARMS_Integrate garden/produce in covers,FARMS_Perennial cool season pasture,FARMS_No till / strip till,FARMS_Annual forages,FARMS_Bale grazing,FARMS_Integrate livestock,FARMS_Management intensive grazing,FARMS_Amendments,FARMS_Reduce chem,FARMS_Roller crimper,FARMS_Additional testing,FARMS_SETs,conservation_tillage_passes,conventional_tillage_passes,chem_passes_per_year,2020_soil_cover_months,start_year_soil_cover,2019_soil_cover_months,2018_soil_cover_months,2020_living_root_months,start_year_living_roots,2019_living_root_months,2018_living_root_months,categories_of_crops,number_of_crops_in_rotation,amendments,what_amendments,use_neonics,integrate_livestock,residue_remaining,stock_density,grazing_species,5yr_cropping_history,totalfieldacres
C29,52,Conventional,KS,E,8/15/23,Dryden (Control),1,0 to 5cm,39.44726; -99.45543,22,49,29,Clay Loam,1314.6084,23.598427,6.2,3.2,1.165,0.21,28.3,526,7.9,1915,200,5,16.7,25,8,57,10,0,46,5.9,0.24,3.4,14.9,446,12.1,1.49,29.6,33.2,1.15,1826,196,9,15.9,25,7,57,10,0,74,30,49,21,Loam,559.4584422,72.38016715,448.0835289,69.33,1785.05,1.477,39.89,712.08,8.84,157.87,14.59,260.48,0,0,12.59,224.8,2.33,41.61,10.26,183.18,0,0,451.6,25.3,47.52,848.18,0.3157,0,1.7337,2.0557,17.1143,2.0456,0.8975,545.684335,50.4154,165.9166,67.97107598,1.21,1580.92,1.293,72.12,1140.18,12.37,195.5,24.93,394.16,0,0,7.9,124.86,1.62,25.57,6.28,99.29,0,0,746.02,47.19,19.98,315.88,0.1095,0,1.8927,1.6462,23.5395,0,34.9074,0.407660848,1.85,1.3,4.4,3.818619529,62.6,36,34.00673401,0.430921438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,53,Conventional,KS,E,8/15/23,Dryden (Control),2,0 to 5cm,39.44706; -99.45798,18,51,31,Silty Clay Loam,1314.6084,23.598427,5.6,2.9,1.2,0.17,28.4,471,8.2,1804,259,8,17.6,30,7,51,12,0,29,6.2,0.16,2.9,8.2,428,7.9,0.53,13.3,17.5,0.64,2094,259,13,15.6,12,7,67,14,0,35,27,49,24,Loam,455.2421801,71.13970941,267.7681693,56.69,1755.86,1.455,37.37,656.12,8.81,154.63,10.38,182.21,0,0,11.11,195,2.04,35.86,9.06,159.14,0,0,473.92,26.99,51.53,904.74,0.2972,0,2.601,2.4788,14.006,1.497,0.5316,572.660763,36.2184,145.9214,63.50917137,1.125,2844.76,1.161,77.45,2203.32,14.96,425.64,24.89,708.05,0,0,3.27,92.95,0,0,3.27,92.95,0,0,1495.27,52.56,19.28,548.47,0.0422,0,2.1118,15.9708,147.772,0,19.356,0.64222863,0.62,1.9,5.1,3.291462585,60.4,37,33.67346939,0.402001321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,54,Conventional,KS,E,8/15/23,Dryden (Control),3,0 to 5cm,39.44758; -99.45966,21,44,35,Clay Loam,1314.6084,23.598427,7.6,2.8,1.045,0.34,21.3,388,7.2,2677,177,10,15.9,0,6,84,9,0,34,5.5,0.22,3.1,14.3,363,13.4,1.82,37,36.5,1.27,1544,217,8,16.1,35,6,48,11,0,70,26,53,21,Silt Loam,471.5416166,52.15236166,416.7177979,109.76,2001.32,1.494,48.85,977.63,11.99,239.89,20,400.18,0,0,13.7,274.1,3.62,72.42,10.08,201.68,0,0,577.46,28.85,37.46,749.6,0.2804,0,1.443,1.6055,23.832,3.3651,1.4276,650.1118323,38.8841,126.9488,66.82032677,1.115,1561.85,1.14,73.18,1143.02,12.3,192.09,21.63,337.83,0,0,3.36,52.47,0,0,3.36,52.47,0.12,1.84,805.19,51.55,23.34,364.52,0.0459,0.0016,2.3834,2.2246,15.3337,0,39.9266,0.563364435,1.5,2.4,4.9,3.296202723,49.1,30,36.61119516,0.451437438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,55,Conventional,KS,E,8/15/23,Dryden (Control),4,0 to 5cm,39.44815; -99.45688,23,48,29,Clay Loam,1314.6084,23.598427,6.4,2.6,1.165,0.24,17.1,394,8.2,1800,219,8,13.5,12,8,66,14,0,39,6.2,0.16,2.9,8.2,428,7.9,0.53,13.3,17.5,0.64,2094,259,13,15.6,12,7,67,14,0,35,27,49,24,Loam,537.6707472,72.61794638,365.1642308,83.29,1818.78,1.473,41.97,763.43,9.26,168.49,15.78,287.05,0,0,12.58,228.85,2.39,43.47,10.19,185.38,0,0,476.39,26.19,45.44,826.5,0.2998,0,1.6596,1.9622,19.3632,2.1107,0.9023,572.660763,36.2184,145.9214,63.50917137,1.125,2844.76,1.161,77.45,2203.32,14.96,425.64,24.89,708.05,0,0,3.27,92.95,0,0,3.27,92.95,0,0,1495.27,52.56,19.28,548.47,0.0422,0,2.1118,15.9708,147.772,0,19.356,0.615181129,0.62,3,4.4,3.291462585,49,36,33.67346939,0.409218791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,56,Conventional,KS,E,8/15/23,Dryden (Control),1,5 to 15cm,39.44726; -99.45543,22,49,29,Clay Loam,1314.6084,23.598427,6.2,3.2,1.475,0.21,28.3,526,7.9,1915,200,5,16.7,25,8,57,10,0,46,5.9,0.24,3.4,14.9,446,12.1,1.49,29.6,33.2,1.15,1826,196,9,15.9,25,7,57,10,0,74,30,49,21,Loam,633.1209174,36.6423501,164.959187,38.88,1279.69,1.414,42.37,542.19,13.6,174.05,10.7,136.94,0,0,7,89.53,1.86,23.86,5.13,65.67,0,0,405.25,31.67,50.64,647.98,0.1651,0,2.9592,2.9708,8.8255,2.1326,0.5838,440.323497,18.4899,65.4228,36.943773,1.405,2086.22,1.239,71.96,1501.16,17.54,366,20.7,431.88,0.17,3.6,4.17,87.04,0,0,4.17,87.04,0.17,3.6,1069.27,51.25,23.7,494.41,0.058,0.0024,2.4758,3.3588,20.6715,0,1000,,,,,,,,,0.618631247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,57,Conventional,KS,E,8/15/23,Dryden (Control),2,5 to 15cm,39.44706; -99.45798,18,51,31,Silty Clay Loam,1314.6084,23.598427,5.6,2.9,1.405,0.17,28.4,471,8.2,1804,259,8,17.6,30,7,51,12,0,29,6.2,0.16,2.9,8.2,428,7.9,0.53,13.3,17.5,0.64,2094,259,13,15.6,12,7,67,14,0,35,27,49,24,Loam,306.522657,38.11026541,150.8072603,15.95,1069.72,1.408,41.63,445.31,12.15,129.94,10.06,107.62,0,0,7.31,78.25,1.92,20.55,5.39,57.7,0,0,337.69,31.57,51.06,546.16,0.1757,0,3.1378,3.4537,0,1.5475,0.4719,286.4702628,12.4606,55.5412,41.85603337,1.425,1276.22,1.214,73.45,937.35,15.68,200.17,24.13,307.95,0,0,3.64,46.41,0,0,3.64,46.41,0.3,3.77,629.4,49.32,22.62,288.68,0.0495,0.004,2.0438,2.848,127.613,0,1000,,,,,,,,,0.684603539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,58,Conventional,KS,E,8/15/23,Dryden (Control),3,5 to 15cm,39.44758; -99.45966,21,44,35,Clay Loam,1314.6084,23.598427,7.6,2.8,1.355,0.34,21.3,388,7.2,2677,177,10,15.9,0,6,84,9,0,34,5.5,0.22,3.1,14.3,363,13.4,1.82,37,36.5,1.27,1544,217,8,16.1,35,6,48,11,0,70,26,53,21,Silt Loam,296.7046148,24.80849484,153.8982286,51.09,1331.22,1.437,46.21,615.12,14.49,192.83,13.06,173.8,0,0,8.15,108.55,2.35,31.22,5.81,77.33,0,0,441.33,33.15,45.64,607.55,0.1765,0,2.5393,2.4671,17.833,2.8502,0.8183,355.6661326,24.0053,64.7164,41.23899083,1.43,1457.54,1.186,70.26,1024.06,17.32,252.51,14.17,206.61,0,0,4.04,58.95,1.14,16.65,2.9,42.3,0,0,817.46,56.08,25.7,374.53,0.0576,0,3.9566,3.7302,104.636,0,1000,,,,,,,,,0.641718535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C29,59,Conventional,KS,E,8/15/23,Dryden (Control),4,5 to 15cm,39.44815; -99.45688,23,48,29,Clay Loam,1314.6084,23.598427,6.4,2.6,1.52,0.24,17.1,394,8.2,1800,219,8,13.5,12,8,66,14,0,39,6.2,0.16,2.9,8.2,428,7.9,0.53,13.3,17.5,0.64,2094,259,13,15.6,12,7,67,14,0,35,27,49,24,Loam,323.5338438,31.86049117,146.018651,73.27,1448.79,1.41,46.43,672.71,15.49,224.38,11.83,171.36,0,0,7.32,106.02,1.95,28.3,5.36,77.72,0,0,501.35,34.6,46.25,670.06,0.1576,0,2.9258,2.9162,17.5738,2.2346,0.7365,286.4702628,12.4606,55.5412,41.85603337,1.425,1276.22,1.214,73.45,937.35,15.68,200.17,24.13,307.95,0,0,3.64,46.41,0,0,3.64,46.41,0.3,3.77,629.4,49.32,22.62,288.68,0.0495,0.004,2.0438,2.848,127.613,0,1000,,,,,,,,,0.59194244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,12,1995,12,12,4,0,4,8,Warm season broadleaf,0.5,No,0,No,No,0,0,0,2021 maybe milo or corn; 2020 soybeans; 2019 corn; cover crop 5+ mix; 2018 wheat (planted 2017); 2017 soybeans; 2016 sorghum. dryland,
C32,230,Conventional,KS,E,8/15/23,Wiltse (Control),1,0 to 5cm,38.36784; -99.14391,24,42,34,Clay Loam,1399.2681,24.03792,6.1,2.9,0.98,0.09,4.2,314,10.1,2521,484,20,22.9,24,4,54,18,0,20,6.3,0.14,2.9,7.4,318,8,0.27,24.6,25.5,1.37,2560,467,16,21.2,17,4,60,18,0,12,24,42,34,Clay Loam,382.8840553,83.61634665,302.9046342,9.89,1696.49,1.502,46.83,794.4,11.39,193.17,16.24,275.52,0,0,14.63,248.27,3.61,61.25,11.02,187.02,0,0,518.88,30.59,38.54,653.82,0.3125,0,1.8833,1.888,0,1.8126,0.9541,475.2365854,26.3012,97.46,87.40162196,0.955,4892.71,1.229,19.05,932.29,2.88,141.04,7.57,370.29,0,0,1.58,77.17,0.16,7.93,1.42,69.23,0,0,562.01,11.49,79.37,3883.25,0.0828,0,1.5178,2.1234,50.1966,1000,1000,0.374201699,0.78,5.8,4,3.241510067,32.2,47,41.94630872,0.136037489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,12,2019,12,6,6,2020,10,10,Warm season grass;Cool season grass;Warm season broadleaf;Cool season broadleaf,0.2,No,0,No,No,0,0,0,wheat milo fallow wheat milo,
C32,231,Conventional,KS,E,8/15/23,Wiltse (Control),2,0 to 5cm,38.36886; -99.14503,21,45,34,Clay Loam,1399.2681,24.03792,6.3,2.8,1.355,0.09,4.3,359,8.9,2212,447,16,19,17,5,58,20,0,21,6.1,0.3,2.6,18.5,434,7.5,0.29,15.3,26.8,1.23,2490,323,10,18.5,12,6,67,15,0,11,25,45,30,Clay Loam,346.5210143,81.31890459,346.7117497,9.19,1839.71,1.497,51.03,938.85,11.78,216.67,19.74,363.22,0,0,14.91,274.34,4.02,73.87,10.9,200.47,0,0,575.63,31.29,34.06,626.52,0.2922,0,1.5848,1.6118,36.6681,2.4234,1.4046,405.1567742,7.3052,101.6713,61.20681781,1.145,6161.21,1.29,16.56,1020.46,2.66,164.05,6.53,402.31,0,0,2.1,129.18,0.17,10.58,1.92,118.6,0,0,618.14,10.03,81.34,5011.58,0.1266,0,1.5365,3.6265,19.025,1000,1000,0.756585252,0.72,8.4,4.1,3.15653527,15.9,48,46.05809129,0.128612765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,12,2019,12,6,6,2020,10,10,Warm season grass;Cool season grass;Warm season broadleaf;Cool season broadleaf,0.2,No,0,No,No,0,0,0,wheat milo fallow wheat milo,
